"","Country","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021"
"1","AUSTRIA",0,0,100,750,0,0,0
"2","BELGIUM",0,117000,608000,68000,86000,1e+05,0
"3","BULGARIA",10230,2000,0,0,0,0,0
"4","CYPRUS",10000,0,0,22000,81000,0,0
"5","CZECH REPUBLIC",0,0,0,0,118500,0,0
"6","DENMARK",21000,13400,167900,0,13450,27000,202400
"7","ESTONIA",0,500,48,3e+05,0,0,0
"8","FINLAND",0,200500,7000,0,0,83500,0
"9","FRANCE",0,0,250000,3066300,245000,5e+05,1750000
"10","GERMANY",0,1240000,0,36158708,10700200,0,0
"11","GREECE",28000,7000,11000,1000,2000,37000,5000
"12","HUNGARY",11300,288000,2288,232903,29125,1970,0
"13","ICELAND",29600,0,0,0,0,57100,0
"14","IRELAND",0,115000,150000,520000,90000,0,0
"15","ISLE OF MAN",0,13500,0,0,0,0,0
"16","ITALY",27909000,0,17914000,13036601,5815000,5904169,0
"17","LATVIA",0,0,0,21250,65000,0,0
"18","LITHUANIA",0,0,0,15000,30000,20000,0
"19","LUXEMBOURG",0,0,0,0,0,71000,0
"20","NORWAY",0,246000,336560,18840,382750,251600,0
"21","POLAND",4400,1168,59600,718930,86200,288350,0
"22","ROMANIA",15150,18000,26500,125000,13500,17200,0
"23","SPAIN",1197170,292040,1010400,5656100,15700300,4456100,115200
"24","SWEDEN",5e+06,31800,0,7247000,0,2999300,0
"25","THE NETHERLANDS",540000,732500,830000,1e+06,1052000,1200000,0
"26","UNITED KINGDOM",0,0,0,43901000,0,0,29000
